origin,stop_name,destination,travel_time,path
30240_Blue_0,Addison-Blue,30374_Blue_0,21263.72011,"['30240_Blue_0', '12515_152_1', '12516_152_1', '17832_152_1', '12518_152_1', '12519_152_1', '12520_152_1', '12521_152_1', '12522_152_1', '12523_152_1', '12524_152_1', '12525_152_1', '12527_152_1', '12528_152_1', '12529_152_1', '12530_152_1', '12531_152_1', '12532_152_1', '12533_152_1', '30278_Brn_0', '30254_Brn_0', '30071_Brn_0', '30258_Brn_0', '30232_Brn_0', '30104_Brn_0', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30240_Blue_0,Addison-Blue,30374_Blue_0,21910.00602,"['30240_Blue_0', '14826_82_0', '7855_82_0', '7856_82_0', '7857_82_0', '11139_82_0', '11140_82_0', '11141_82_0', '11142_82_0', '11143_82_0', '11145_82_0', '18261_82_0', '11147_82_0', '17628_82_0', '11149_82_0', '11150_82_0', '11151_82_0', '14829_82_0', '11153_82_0', '11154_82_0', '11155_82_0', '11156_82_0', '11157_82_0', '11158_82_0', '11159_82_0', '17644_82_0', '11161_82_0', '11162_82_0', '11163_82_0', '18175_82_0', '11165_82_0', '11166_82_0', '11167_82_0', '11168_82_0', '11169_82_0', '11170_82_0', '11171_82_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30013_Blue_0,Belmont-Blue,30374_Blue_0,1140,"['30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30013_Blue_0,Belmont-Blue,30374_Blue_0,15834.71587,"['30013_Blue_0', '5462_56_0', '5463_56_0', '17413_56_0', '5465_56_0', '5466_56_0', '5467_56_0', '5468_56_0', '15041_56_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30013_Blue_0,Belmont-Blue,30374_Blue_0,20908.19328,"['30013_Blue_0', '11140_82_0', '11141_82_0', '11142_82_0', '11143_82_0', '11145_82_0', '18261_82_0', '11147_82_0', '17628_82_0', '11149_82_0', '11150_82_0', '11151_82_0', '14829_82_0', '11153_82_0', '11154_82_0', '11155_82_0', '11156_82_0', '11157_82_0', '11158_82_0', '11159_82_0', '17644_82_0', '11161_82_0', '11162_82_0', '11163_82_0', '18175_82_0', '11165_82_0', '11166_82_0', '11167_82_0', '11168_82_0', '11169_82_0', '11170_82_0', '11171_82_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30013_Blue_0,Belmont-Blue,30374_Blue_0,21573.93251,"['30013_Blue_0', '9274_77_1', '7861_77_1', '7862_77_1', '7863_77_1', '7865_77_1', '7866_77_1', '7867_77_1', '7868_77_1', '17342_77_1', '9275_77_1', '9276_77_1', '9277_77_1', '17315_77_1', '18263_77_1', '9280_77_1', '9281_77_1', '14912_77_1', '17833_77_1', '9284_77_1', '9285_77_1', '9286_77_1', '9287_77_1', '17379_77_1', '30258_Brn_0', '30232_Brn_0', '30104_Brn_0', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30198_Blue_0,Logan Square,30374_Blue_0,990,"['30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30198_Blue_0,Logan Square,30374_Blue_0,14907.57035,"['30198_Blue_0', '5467_56_0', '5468_56_0', '15041_56_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30198_Blue_0,Logan Square,30374_Blue_0,20989.61502,"['30198_Blue_0', '11005_76_1', '11006_76_1', '11007_76_1', '11008_76_1', '11009_76_1', '11010_76_1', '11012_76_1', '11013_76_1', '17528_76_1', '11015_76_1', '11016_76_1', '11017_76_1', '11018_76_1', '11019_76_1', '11020_76_1', '11021_76_1', '11022_76_1', '11023_76_1', '11024_76_1', '11025_76_1', '11026_76_1', '11027_76_1', '11028_76_1', '30104_Brn_0', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
30198_Blue_0,Logan Square,30374_Blue_0,21159.29739,"['30198_Blue_0', '18261_82_0', '11147_82_0', '17628_82_0', '11149_82_0', '11150_82_0', '11151_82_0', '14829_82_0', '11153_82_0', '11154_82_0', '11155_82_0', '11156_82_0', '11157_82_0', '11158_82_0', '11159_82_0', '17644_82_0', '11161_82_0', '11162_82_0', '11163_82_0', '18175_82_0', '11165_82_0', '11166_82_0', '11167_82_0', '11168_82_0', '11169_82_0', '11170_82_0', '11171_82_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
