route_id,Direction_ID,From_ID,Arr_From,To_ID,Arr_To,Car_Num,Line,Trip_No,Dep_From,Dep_To
8,0,15352,28498,5799.0,28552.0,70,8,3,28508,28562.0
8,0,5799,28552,205.0,28650.0,70,8,3,28562,28660.0
8,0,205,28650,4638.0,28711.0,70,8,3,28660,28721.0
8,0,4638,28711,4639.0,28741.0,70,8,3,28721,28751.0
8,0,4639,28741,4640.0,28789.0,70,8,3,28751,28799.0
8,0,4640,28789,17366.0,28840.0,70,8,3,28799,28850.0
8,0,17366,28840,5802.0,28881.0,70,8,3,28850,28891.0
8,0,5802,28881,5804.0,28928.0,70,8,3,28891,28938.0
8,0,5804,28928,5806.0,28980.0,70,8,3,28938,28990.0
8,0,5806,28980,17904.0,29024.0,70,8,3,28990,29034.0
8,0,17904,29024,5809.0,29058.0,70,8,3,29034,29068.0
8,0,5809,29058,15353.0,29082.0,70,8,3,29068,29092.0
8,0,15353,29082,15354.0,29129.0,70,8,3,29092,29139.0
8,0,15354,29129,5812.0,29160.0,70,8,3,29139,29170.0
8,0,5812,29160,5917.0,29310.0,70,8,3,29170,29320.0
8,0,5917,29310,4448.0,29363.0,70,8,3,29320,29373.0
8,0,4448,29363,17905.0,29464.0,70,8,3,29373,29474.0
8,0,17905,29464,5815.0,29497.0,70,8,3,29474,29507.0
8,0,5815,29497,18213.0,29561.0,70,8,3,29507,29571.0
8,0,18213,29561,5817.0,29604.0,70,8,3,29571,29614.0
8,0,5817,29604,17157.0,29648.0,70,8,3,29614,29658.0
8,0,17157,29648,17123.0,29675.0,70,8,3,29658,29685.0
8,0,17123,29675,5820.0,29711.0,70,8,3,29685,29721.0
8,0,5820,29711,5821.0,29748.0,70,8,3,29721,29758.0
8,0,5821,29748,5822.0,29785.0,70,8,3,29758,29795.0
8,0,5822,29785,5823.0,29832.0,70,8,3,29795,29842.0
8,0,5823,29832,17595.0,29862.0,70,8,3,29842,29872.0
8,0,17595,29862,5825.0,29896.0,70,8,3,29872,29906.0
8,0,5825,29896,14863.0,29949.0,70,8,3,29906,29959.0
8,0,14863,29949,5827.0,29996.0,70,8,3,29959,30006.0
8,0,5827,29996,5149.0,30030.0,70,8,3,30006,30040.0
8,0,5149,30030,5150.0,30048.0,70,8,3,30040,30058.0
