from_station_id,to_station_id,time
129.0,130.0,30.0
129.0,131.0,30.0
130.0,24.0,30.0
130.0,25.0,30.0
130.0,120.0,75.0
130.0,128.0,30.0
130.0,129.0,30.0
130.0,131.0,30.0
131.0,24.0,30.0
131.0,25.0,30.0
131.0,128.0,30.0
131.0,129.0,30.0
131.0,130.0,30.0
131.0,138.0,135.0
132.0,133.0,30.0
132.0,224.0,90.0
133.0,132.0,30.0
133.0,143.0,60.0
134.0,135.0,30.0
134.0,152.0,135.0
135.0,134.0,30.0
135.0,151.0,120.0
136.0,137.0,30.0
136.0,172.0,90.0
137.0,136.0,30.0
137.0,203.0,90.0
138.0,139.0,30.0
138.0,140.0,30.0
138.0,141.0,30.0
138.0,164.0,150.0
139.0,138.0,30.0
139.0,140.0,30.0
139.0,141.0,30.0
139.0,165.0,135.0
140.0,138.0,30.0
140.0,139.0,30.0
140.0,141.0,30.0
140.0,171.0,150.0
141.0,130.0,165.0
141.0,138.0,30.0
141.0,139.0,30.0
141.0,140.0,30.0
142.0,132.0,60.0
142.0,143.0,30.0
143.0,101.0,90.0
143.0,142.0,30.0
144.0,145.0,30.0
144.0,146.0,30.0
144.0,147.0,30.0
144.0,216.0,75.0
145.0,144.0,30.0
145.0,146.0,30.0
145.0,147.0,30.0
145.0,217.0,105.0
146.0,144.0,30.0
146.0,145.0,30.0
146.0,147.0,30.0
146.0,222.0,105.0
147.0,144.0,30.0
147.0,145.0,30.0
147.0,146.0,30.0
147.0,223.0,90.0
148.0,33.0,30.0
148.0,149.0,30.0
148.0,233.0,420.0
149.0,33.0,30.0
149.0,148.0,30.0
149.0,190.0,390.0
150.0,134.0,120.0
150.0,151.0,30.0
151.0,150.0,30.0
152.0,108.0,90.0
152.0,153.0,30.0
153.0,135.0,150.0
153.0,152.0,30.0
154.0,155.0,30.0
154.0,156.0,30.0
154.0,157.0,30.0
154.0,220.0,120.0
155.0,154.0,30.0
155.0,156.0,30.0
155.0,157.0,30.0
155.0,221.0,120.0
156.0,154.0,30.0
156.0,155.0,30.0
156.0,157.0,30.0
156.0,178.0,225.0
157.0,154.0,30.0
157.0,155.0,30.0
157.0,156.0,30.0
157.0,179.0,180.0
158.0,42.0,30.0
158.0,159.0,30.0
158.0,160.0,30.0
158.0,161.0,30.0
158.0,248.0,75.0
159.0,42.0,30.0
159.0,158.0,30.0
159.0,160.0,30.0
159.0,161.0,30.0
159.0,235.0,180.0
160.0,42.0,30.0
160.0,158.0,30.0
160.0,159.0,30.0
160.0,161.0,30.0
160.0,186.0,120.0
161.0,42.0,30.0
161.0,158.0,30.0
161.0,159.0,30.0
161.0,160.0,30.0
161.0,187.0,135.0
162.0,100.0,90.0
162.0,163.0,30.0
163.0,123.0,60.0
163.0,162.0,30.0
164.0,165.0,30.0
164.0,166.0,30.0
164.0,167.0,30.0
164.0,176.0,165.0
165.0,164.0,30.0
165.0,166.0,30.0
165.0,167.0,30.0
165.0,177.0,165.0
166.0,140.0,135.0
166.0,164.0,30.0
166.0,165.0,30.0
166.0,167.0,30.0
167.0,141.0,135.0
167.0,164.0,30.0
167.0,165.0,30.0
167.0,166.0,30.0
168.0,128.0,150.0
168.0,169.0,30.0
168.0,170.0,30.0
168.0,171.0,30.0
169.0,168.0,30.0
169.0,170.0,30.0
169.0,171.0,30.0
169.0,213.0,195.0
