231,17.0,4.0,1,500,33000
232,1.0,4.0,0,500,57600
233,1.0,4.0,0,500,53400
234,1.0,4.0,0,500,57150
235,1.0,4.0,0,500,61200
236,1.0,4.0,0,500,60750
237,44.0,4.0,1,500,63840
238,44.0,4.0,1,500,57270
239,17.0,4.0,1,500,56580
240,17.0,4.0,1,500,64200
241,44.0,4.0,1,500,18540
242,150.0,6.0,1,500,14580
243,150.0,6.0,1,500,19860
244,150.0,6.0,1,500,24840
245,150.0,6.0,1,500,29460
246,150.0,6.0,1,500,34320
247,150.0,6.0,1,500,39360
248,150.0,6.0,1,500,44400
249,150.0,6.0,1,500,49440
250,150.0,6.0,1,500,54240
251,150.0,6.0,1,500,59160
252,150.0,6.0,1,500,63840
253,150.0,6.0,1,500,68640
254,150.0,6.0,1,500,73680
255,150.0,6.0,1,500,78720
256,150.0,6.0,1,500,26910
257,150.0,6.0,1,500,31500
258,150.0,6.0,1,500,36120
259,150.0,6.0,1,500,40800
260,150.0,6.0,1,500,45840
261,150.0,6.0,1,500,50880
262,150.0,6.0,1,500,56040
263,150.0,6.0,1,500,60690
264,150.0,6.0,1,500,65640
265,150.0,6.0,1,500,17280
266,150.0,6.0,1,500,21900
267,150.0,6.0,1,500,26400
268,150.0,6.0,1,500,30990
269,150.0,6.0,1,500,35520
270,150.0,6.0,1,500,40080
271,150.0,6.0,1,500,45120
272,150.0,6.0,1,500,50160
273,150.0,6.0,1,500,55440
274,150.0,6.0,1,500,60180
275,150.0,6.0,1,500,65040
276,150.0,6.0,1,500,70080
277,150.0,6.0,1,500,75120
278,150.0,6.0,1,500,24300
279,150.0,6.0,1,500,28950
280,150.0,6.0,1,500,33720
281,150.0,6.0,1,500,38640
282,150.0,6.0,1,500,43680
283,150.0,6.0,1,500,48720
284,150.0,6.0,1,500,53640
285,150.0,6.0,1,500,72960
286,150.0,6.0,1,500,58650
287,150.0,6.0,1,500,63240
288,150.0,6.0,1,500,68040
289,150.0,6.0,1,500,78000
290,150.0,6.0,1,500,82920
291,150.0,6.0,1,500,19020
292,150.0,6.0,1,500,23700
293,150.0,6.0,1,500,28440
294,150.0,6.0,1,500,33120
295,150.0,6.0,1,500,37920
296,150.0,6.0,1,500,42960
297,150.0,6.0,1,500,48000
298,150.0,6.0,1,500,53040
299,150.0,6.0,1,500,58140
300,150.0,6.0,1,500,62730
301,150.0,6.0,1,500,67440
302,150.0,6.0,1,500,72240
303,150.0,6.0,1,500,77280
304,150.0,6.0,1,500,82020
305,150.0,6.0,1,500,25890
306,150.0,6.0,1,500,16380
307,150.0,6.0,1,500,21300
308,150.0,6.0,1,500,30480
309,150.0,6.0,1,500,23100
310,150.0,6.0,1,500,34920
311,150.0,6.0,1,500,15480
312,150.0,6.0,1,500,20580
313,150.0,6.0,1,500,25380
314,150.0,6.0,1,500,29970
315,150.0,6.0,1,500,18180
316,150.0,6.0,1,500,27930
317,150.0,6.0,1,500,32520
318,150.0,6.0,1,500,52320
319,150.0,6.0,1,500,37320
320,150.0,6.0,1,500,42240
321,150.0,6.0,1,500,47280
